title,movie_url,poster_url,rating,genre
Ma Rainey's Black Bottom (2020),https://letterboxd.com/film/ma-raineys-black-bottom/,https://a.ltrbxd.com/resized/film-poster/5/4/2/4/6/5/542465-ma-rainey-s-black-bottom-0-1000-0-1500-crop.jpg?v=ff55605b7f,3.5,music
The Bad Guys (2022),https://letterboxd.com/film/the-bad-guys-2022/,https://a.ltrbxd.com/resized/film-poster/5/5/5/9/4/2/555942-the-bad-guys-0-1000-0-1500-crop.jpg?v=2906964a11,3.42,family
The Trial of the Chicago 7 (2020),https://letterboxd.com/film/the-trial-of-the-chicago-7/,https://a.ltrbxd.com/resized/film-poster/4/8/5/5/1/9/485519-the-trial-of-the-chicago-7-0-1000-0-1500-crop.jpg?v=284072013c,3.75,history
The Maze Runner (2014),https://letterboxd.com/film/the-maze-runner/,https://a.ltrbxd.com/resized/film-poster/1/4/2/5/4/9/142549-the-maze-runner-0-1000-0-1500-crop.jpg?v=2423795b6f,3.41,science-fiction
Very Bad Things (1998),https://letterboxd.com/film/very-bad-things/,https://a.ltrbxd.com/resized/film-poster/4/6/6/1/3/46613-very-bad-things-0-1000-0-1500-crop.jpg?v=a5e2065872,3.08,thriller
Tom Clancy's Without Remorse (2021),https://letterboxd.com/film/tom-clancys-without-remorse/,https://a.ltrbxd.com/resized/film-poster/4/9/5/7/0/6/495706-tom-clancy-s-without-remorse-0-1000-0-1500-crop.jpg?v=92214b9811,2.6,action
Avengers: Endgame (2019),https://letterboxd.com/film/avengers-endgame/,https://a.ltrbxd.com/resized/film-poster/2/2/6/6/6/0/226660-avengers-endgame-0-1000-0-1500-crop.jpg?v=250ab286a3,3.9,science-fiction
Fyre (2019),https://letterboxd.com/film/fyre-2019/,https://a.ltrbxd.com/resized/film-poster/4/9/6/2/6/2/496262-fyre-the-greatest-party-that-never-happened-0-1000-0-1500-crop.jpg?v=53c845f54e,3.34,documentary
Black Hawk Down (2001),https://letterboxd.com/film/black-hawk-down/,https://a.ltrbxd.com/resized/sm/upload/3c/d1/1e/mx/yUzQ4r3q1Dy0bUAkMvUIwf0rPpR-0-1000-0-1500-crop.jpg?v=6d113b03c4,3.67,action
Songbird (2020),https://letterboxd.com/film/songbird-2020/,https://a.ltrbxd.com/resized/film-poster/6/4/4/4/6/5/644465-songbird-0-1000-0-1500-crop.jpg?v=e0727e6f0f,1.81,thriller
Marvel One-Shot: Item 47 (2012),https://letterboxd.com/film/marvel-one-shot-item-47/,https://a.ltrbxd.com/resized/film-poster/9/4/4/7/9/94479-marvel-one-shot-item-47-0-1000-0-1500-crop.jpg?v=c624a585c7,2.9,fantasy
Ted (2012),https://letterboxd.com/film/ted/,https://a.ltrbxd.com/resized/sm/upload/ow/bs/pe/yv/carghLovNNSEphT9UZXTJ74I7lE-0-1000-0-1500-crop.jpg?v=8568f99d56,3.02,fantasy
Cars 2 (2011),https://letterboxd.com/film/cars-2/,https://a.ltrbxd.com/resized/film-poster/1/6/5/6/0/16560-cars-2-0-1000-0-1500-crop.jpg?v=cb91a3561f,2.88,animation
Bon Cop Bad Cop (2006),https://letterboxd.com/film/bon-cop-bad-cop/,https://a.ltrbxd.com/resized/film-poster/4/2/6/3/8/42638-bon-cop-bad-cop-0-1000-0-1500-crop.jpg?v=f058eb7b55,3.1,comedy
Agent Cody Banks (2003),https://letterboxd.com/film/agent-cody-banks/,https://a.ltrbxd.com/resized/film-poster/4/5/7/7/0/45770-agent-cody-banks-0-1000-0-1500-crop.jpg?v=c0d5f01940,2.49,family
Gangs of New York (2002),https://letterboxd.com/film/gangs-of-new-york-2002/,https://a.ltrbxd.com/resized/film-poster/4/9/8/4/6/49846-gangs-of-new-york-0-1000-0-1500-crop.jpg?v=5c4435acc6,3.71,history
Men in Black II (2002),https://letterboxd.com/film/men-in-black-ii/,https://a.ltrbxd.com/resized/film-poster/5/1/5/1/3/51513-men-in-black-ii-0-1000-0-1500-crop.jpg?v=e67cb29305,2.99,science-fiction
Jurassic World: Fallen Kingdom (2018),https://letterboxd.com/film/jurassic-world-fallen-kingdom/,https://a.ltrbxd.com/resized/film-poster/2/8/1/5/2/9/281529-jurassic-world-fallen-kingdom-0-1000-0-1500-crop.jpg?v=b0c50b6d29,2.63,action
Hackers (1995),https://letterboxd.com/film/hackers/,https://a.ltrbxd.com/resized/sm/upload/dp/sq/oj/cg/hNjxJbejPHSmKVidHQ9ZHaC0Z7r-0-1000-0-1500-crop.jpg?v=f0ff67d1b9,3.26,crime
"I Tonya (2017)",https://letterboxd.com/film/i-tonya/,https://a.ltrbxd.com/resized/sm/upload/hv/nn/05/ss/d20vOJpywFDoz7Dd4ChomGdP0fr-0-1000-0-1500-crop.jpg?v=836521d1aa,3.86,drama
Avatar (2009),https://letterboxd.com/film/avatar/,https://a.ltrbxd.com/resized/sm/upload/1p/mh/li/l2/b7nR3eKeTOwHPKmDLUWunIGasKo-0-1000-0-1500-crop.jpg?v=0bb5ec98ec,3.64,fantasy
Vanilla Sky (2001),https://letterboxd.com/film/vanilla-sky/,https://a.ltrbxd.com/resized/film-poster/5/0/7/0/2/50702-vanilla-sky-0-1000-0-1500-crop.jpg?v=fbd4b97e55,3.45,fantasy
Jaws (1975),https://letterboxd.com/film/jaws/,https://a.ltrbxd.com/resized/film-poster/5/1/5/4/2/51542-jaws-0-1000-0-1500-crop.jpg?v=03299455f6,3.94,adventure
The Hummingbird Project (2018),https://letterboxd.com/film/the-hummingbird-project/,https://a.ltrbxd.com/resized/film-poster/4/1/9/7/9/6/419796-the-hummingbird-project-0-1000-0-1500-crop.jpg?v=6851088215,3.01,thriller
The Courier (2020),https://letterboxd.com/film/the-courier-2020/,https://a.ltrbxd.com/resized/film-poster/4/5/1/7/1/7/451717-the-courier-0-1000-0-1500-crop.jpg?v=8463a7e1fd,3.38,thriller
Fast & Furious Presents: Hobbs & Shaw (2019),https://letterboxd.com/film/fast-furious-presents-hobbs-shaw/,https://a.ltrbxd.com/resized/film-poster/3/1/8/9/1/3/318913-fast-furious-presents-hobbs-shaw-0-1000-0-1500-crop.jpg?v=6a7be0f1a2,2.68,adventure
Road Trip (2000),https://letterboxd.com/film/road-trip/,https://a.ltrbxd.com/resized/sm/upload/71/te/8x/zd/iPnwSvvzwgB2tmjPs19WW8e36zX-0-1000-0-1500-crop.jpg?v=fd561c8a06,2.83,adventure
My Girl (1991),https://letterboxd.com/film/my-girl/,https://a.ltrbxd.com/resized/film-poster/4/9/5/2/4/49524-my-girl-0-1000-0-1500-crop.jpg?v=1bf8802efb,3.7,comedy
Minari (2020),https://letterboxd.com/film/minari/,https://a.ltrbxd.com/resized/film-poster/5/4/2/4/4/9/542449-minari-0-1000-0-1500-crop.jpg?v=29fbd9f379,4.09,drama
Rudy (1993),https://letterboxd.com/film/rudy/,https://a.ltrbxd.com/resized/film-poster/4/3/0/1/7/43017-rudy-0-1000-0-1500-crop.jpg?v=71dc1f5a12,3.54,history
The Goonies (1985),https://letterboxd.com/film/the-goonies/,https://a.ltrbxd.com/resized/film-poster/4/7/2/5/4/47254-the-goonies-0-1000-0-1500-crop.jpg?v=fc8eb0611b,3.8,adventure
About Fate (2022),https://letterboxd.com/film/about-fate/,https://a.ltrbxd.com/resized/film-poster/7/4/4/4/8/0/744480-about-fate-0-1000-0-1500-crop.jpg?v=a21687b9c9,2.91,romance
Dumb Money (2023),https://letterboxd.com/film/dumb-money/,https://a.ltrbxd.com/resized/film-poster/7/1/0/0/7/3/710073-dumb-money-0-1000-0-1500-crop.jpg?v=3ec94863dd,3.26,drama
